transaction_id,transaction_date,amount,currency,transaction_type,account_number,account_type,transaction_category,merchant_name,credit_card_number
41,11/23/2020,639173.21,NZD,sale,2456110702,investment,income,Aibox,6771239025170896567
42,2/21/2021,514420.08,CNY,transfer,3950208429,investment,expense,Edgewire,30485596339371
43,1/4/2024,272071.33,CNY,purchase,1034089723,investment,investment,Jayo,3570011633825170
44,1/21/2020,776206.55,CNY,sale,2654201841,checking,expense,Jetpulse,5048377644016235
45,1/21/2023,122275.7,NZD,sale,7152127043,savings,expense,Ooba,349343011274283
46,9/25/2021,913890.79,XOF,transfer,4770711088,investment,investment,Eayo,5496706799468006
47,11/7/2019,591415.84,UAH,purchase,8542343435,checking,expense,Zazio,3538392119268353
48,7/7/2023,521448.14,CUP,purchase,3621284330,investment,expense,Realcube,6706939284212774816
49,9/26/2023,904777.75,CAD,purchase,7974082754,investment,income,Devcast,56022575590265226
50,5/25/2023,37416.95,PAB,purchase,1840211188,checking,income,Meemm,337941792007055
51,5/12/2023,554751.77,RUB,transfer,8101603348,savings,income,Innojam,3551707948129629
52,1/28/2023,757162.18,SEK,sale,3570987399,,expense,Izio,3545234670356774
53,10/26/2021,123551.48,EUR,transfer,4059203861,checking,investment,Riffwire,4917946328159437
54,4/8/2021,181530.03,NOK,purchase,6782864067,checking,income,Divavu,5602240789884734
55,1/24/2024,59972.76,CNY,transfer,4189508928,checking,income,Chatterpoint,4405029202445328
56,12/28/2021,919283.04,RUB,sale,1592465117,checking,expense,Zoombox,3553287357044393
57,10/24/2022,365118.53,EUR,purchase,8613878821,,investment,Quaxo,374288885081868
58,2/8/2020,361184.45,RUB,sale,1587465623,investment,income,,3549282030221341
59,9/20/2021,662167.76,CZK,purchase,5406967403,checking,investment,Edgepulse,3547039907820031
60,2/29/2020,856807.1,CNY,purchase,1686032741,savings,investment,Rooxo,4917436338834617
61,6/3/2022,437423.95,,transfer,3567374764,savings,investment,Riffpath,502037053763009082
62,4/28/2019,148053.74,CRC,purchase,1343809749,investment,income,Layo,3532644695000253
63,3/9/2021,738865.65,KZT,sale,3765850949,checking,expense,Tambee,337941702648600
64,1/1/2022,722772.53,PHP,transfer,8464613906,checking,income,Centidel,4844974028665485
65,2/3/2021,596690.69,JPY,purchase,2222528466,checking,income,Quatz,6759662847876937002
66,12/4/2020,992957.25,CNY,purchase,4655406638,savings,investment,Meetz,5007663881879537
67,12/9/2019,389571.83,CNY,transfer,5269025654,checking,income,Katz,67599485996953484
68,4/16/2019,572042.31,CNY,sale,3484096578,investment,expense,Gevee,5010125175808429
69,7/10/2022,381645.66,RUB,transfer,2528448868,checking,investment,Chatterpoint,56022161445351352
70,6/8/2021,100030.64,CZK,sale,3751548860,checking,expense,Aimbo,67060461302350855
71,4/28/2023,55801.04,CNY,transfer,5203971134,savings,expense,Livepath,6759024623224816856
72,7/13/2020,959971.44,EUR,purchase,8201447102,checking,expense,,4175002927915493
73,8/13/2023,475256.7,CAD,transfer,7207228655,investment,investment,Digitube,3588169570006350
74,7/5/2021,12590.7,CNY,purchase,6710247872,savings,income,Wikibox,5602231169272962
75,4/6/2021,807693.17,RSD,transfer,3868554626,checking,income,Quimm,3534498095659384
76,12/7/2019,490869.22,EUR,transfer,2000801675,,expense,Fivespan,4903580770464437
77,9/17/2022,724031.42,PEN,transfer,9909412676,savings,investment,Riffwire,4041591956651
78,7/22/2020,194645.45,UAH,sale,3787460414,checking,investment,Mudo,201592792366752
79,5/6/2020,857612.91,UAH,transfer,8087067636,savings,income,Kwideo,6382270291221772
80,7/13/2023,266807.33,CZK,purchase,1548523144,savings,investment,Voonder,3579638997107265
81,10/8/2019,308416.93,CNY,transfer,4500723958,checking,income,Flashspan,3570479440825768
82,6/10/2022,854558.29,WST,purchase,9641258212,savings,expense,Divavu,3581318430860871
83,12/16/2022,817377.42,MNT,transfer,2234471834,investment,income,Riffpath,5602216002739939
84,9/23/2020,452342.0,CNY,purchase,4255122081,checking,investment,Topiclounge,5602239400711250
85,3/2/2024,269430.57,EUR,purchase,6255531511,savings,expense,Twitterwire,374288065512369
86,3/21/2022,946394.29,PHP,purchase,8126415316,checking,expense,Skynoodle,6394027000925192
87,12/22/2021,530780.14,UAH,sale,7855086573,investment,income,Buzzdog,5048370602458275
88,9/27/2019,465262.6,IDR,purchase,5277706135,checking,income,Linkbridge,6759299809782236
89,5/3/2022,495754.81,RUB,purchase,6346859716,checking,expense,Leexo,5602234632504490
90,6/9/2021,135565.3,UZS,transfer,8440339446,checking,expense,Jaxbean,5100179421667932
91,6/15/2022,287516.83,MXN,purchase,3625247771,checking,investment,Jatri,3575874393058711
92,4/11/2023,590536.69,CNY,purchase,6791285846,investment,income,Blogspan,6304359868142453585
93,8/17/2023,27947.75,TND,transfer,5156648115,savings,investment,Skynoodle,0604992901032605
94,12/27/2023,946438.66,HRK,sale,3088845968,savings,income,Tagcat,4913062355873710
95,7/19/2020,883900.21,CNY,purchase,2973974776,savings,investment,Minyx,3545286540551430
96,6/3/2023,497949.08,EUR,sale,6153288353,investment,income,Roodel,3582232157241786
97,9/10/2019,604530.27,CNY,purchase,7323932092,checking,expense,Brainsphere,3567040927869417
98,11/19/2021,377700.73,IDR,sale,9957525974,checking,expense,Oodoo,3550938618280274
99,8/12/2023,291518.79,RUB,sale,7671479840,checking,income,Npath,50200233713257400
100,2/23/2020,920532.09,XPF,sale,8226402514,savings,expense,Centimia,201713665165507
101,7/2/2022,619039.45,SEK,sale,4508149428,savings,expense,Ailane,3563604188548350
102,7/4/2023,974865.51,CNY,purchase,9198707678,checking,investment,Katz,3566327714787576
103,6/1/2023,616514.08,COP,transfer,3983499618,,expense,Skaboo,3551177259142373
104,12/25/2019,699874.42,ARS,purchase,5226995305,savings,income,Jaxspan,201473828171575
105,10/21/2023,459575.31,PHP,transfer,7634877363,savings,income,Ainyx,5100138530910682
106,1/7/2023,351316.65,COP,transfer,6041247054,investment,expense,Blogtags,5007666945928745
107,7/27/2020,780929.12,BOB,purchase,9932988685,savings,income,Tazz,4844788747076737
108,7/17/2023,698801.51,HNL,sale,7018845033,checking,expense,Linkbridge,201951655402338
109,8/28/2023,588469.87,CNY,sale,7836329447,investment,income,Gevee,3541061741115119
110,1/8/2020,180526.47,CRC,transfer,2850251428,investment,expense,Riffwire,6304349320413446453
111,4/5/2020,892156.59,SSP,purchase,3685653364,checking,investment,Feedspan,3535528424800959
112,1/22/2022,758296.01,RUB,purchase,7676344847,checking,expense,,3535416678356953
113,1/4/2023,438874.67,,transfer,8277425557,savings,income,Zoomcast,3558453444273479
114,7/19/2022,114105.84,JPY,sale,1581825690,savings,expense,Bubbletube,3552040310439957
115,6/12/2021,484653.37,DKK,purchase,2222602602,investment,expense,Chatterbridge,3542471350963924
116,2/14/2023,525674.33,SEK,purchase,4898115307,savings,investment,Quimba,3544457856978530
117,4/22/2023,259410.65,BRL,transfer,7266804468,savings,income,Trudoo,50181848562193027
118,12/3/2023,544015.55,IDR,transfer,2670688930,investment,expense,Linklinks,201813222041272
119,1/4/2023,581819.7,EUR,sale,6444239448,checking,investment,Trilith,3562626316873146
120,7/27/2021,181505.45,HNL,sale,2320556873,investment,expense,Aimbo,5007661202527769
121,9/26/2022,525749.33,EUR,purchase,5381884260,investment,expense,Topicblab,4917930959675341
122,11/17/2021,916313.96,CNY,transfer,8653422546,checking,income,Skyble,3536883329697680
123,5/26/2023,364304.91,EUR,sale,7576369109,checking,income,Feedmix,201738596832412
124,12/8/2019,610665.64,USD,sale,5897192045,checking,expense,Wikivu,3572051925920634
125,1/18/2021,315296.62,CNY,sale,7591727728,investment,expense,Feedmix,5602235808636560
126,9/19/2020,227993.84,AMD,transfer,7382580774,checking,investment,Chatterbridge,3535466514249359
127,10/14/2022,39630.03,IQD,transfer,8022050498,savings,income,Browseblab,3536624657242560
128,8/23/2021,243182.84,,transfer,7929714728,investment,investment,Skynoodle,5108758476383024
129,10/3/2021,852203.38,CZK,purchase,8008552790,savings,income,Twimm,3584217400071161
130,3/18/2023,489763.99,ZAR,transfer,6470470938,checking,expense,Blogtag,4913430000958469
131,9/21/2023,282544.84,XOF,purchase,9670571763,checking,investment,Vitz,6396317445178921
132,4/15/2022,720302.06,IRR,sale,8321745423,savings,income,Voonix,5274120583913946
133,5/29/2020,125682.32,CNY,sale,9658902214,investment,income,Plajo,5150369113320762
134,1/25/2023,931482.28,BRL,purchase,3916368337,investment,expense,Zoombeat,5100178701765853
135,5/2/2019,715799.74,CNY,sale,7460781666,savings,expense,,374283687436576
136,7/8/2020,7518.31,BRL,sale,5629226363,,expense,Yambee,6390346075327801
137,10/31/2020,419720.44,CNY,purchase,8102154835,checking,investment,Edgeblab,6767892880743208
138,11/1/2021,587024.26,UAH,purchase,5960842449,investment,expense,Omba,3569917178754083
139,2/19/2021,257880.0,PLN,purchase,8703184479,investment,expense,Abatz,675950590875932203
140,8/9/2023,552959.26,CUP,purchase,7497283851,savings,income,Rhybox,5610142379879076
141,4/9/2023,458601.09,EUR,sale,9013637019,investment,investment,Vidoo,3586714633701026
142,6/20/2022,388830.93,CNY,purchase,2668252063,investment,investment,Ntag,3551013672270378
143,1/7/2021,256094.14,EGP,purchase,8175179444,investment,investment,Realcube,36344368974838
144,11/27/2021,798515.76,CNY,transfer,7724361922,investment,investment,Riffpedia,201528650290726
145,8/13/2021,647042.02,BRL,transfer,4499202822,,expense,Zazio,6389758652863367
146,12/20/2019,378179.78,EUR,purchase,1661397099,investment,expense,Yozio,3551727614829294
147,4/29/2019,121814.76,CNY,transfer,2555013878,savings,income,Yodel,3587771503782923
148,5/28/2021,261212.6,IDR,purchase,6114355791,investment,expense,Twitterworks,3568244534169612
149,1/12/2021,994636.3,SYP,purchase,7693111365,checking,income,Topicware,3580162091889550
150,5/18/2023,663354.2,IDR,sale,4796482051,investment,investment,Jazzy,50388329821128204
151,1/4/2023,637285.45,KRW,sale,9967790051,,expense,Gabvine,3557216535997210
152,5/25/2021,539732.82,COP,transfer,4298650804,savings,income,Gigaclub,3545984847862878
153,1/11/2022,273326.09,EUR,transfer,6563779813,checking,expense,Mydeo,3568742692041226
154,1/17/2021,473401.98,CNY,transfer,6515504636,investment,expense,,5048374822404051
155,10/3/2019,334535.45,CNY,transfer,6177348653,savings,expense,Oba,3584313398214572
156,8/19/2020,974019.45,CNY,sale,1362130906,checking,expense,Zooxo,3571385407377637
157,2/17/2020,402919.7,CNY,purchase,4102237082,,income,Centimia,3589549698004727
158,9/15/2022,461377.8,,purchase,2637367997,investment,investment,Thoughtmix,50189891162823918
159,11/14/2020,997221.77,CNY,purchase,1534108574,checking,income,Voomm,3566359335540761
160,8/22/2023,289258.53,RUB,purchase,9520804384,checking,expense,Gigazoom,201944522294707
161,2/28/2024,605224.16,EUR,sale,3172048571,investment,investment,Zazio,5139373319272229
162,10/16/2023,953351.4,EUR,sale,9467553437,savings,expense,Tagpad,5602232264965245
163,8/4/2022,396290.17,PHP,transfer,6047602575,checking,investment,Topiclounge,3553533598605587
164,5/19/2019,510862.1,XOF,sale,7625866961,savings,investment,Rooxo,67638109926716091
165,10/10/2023,41770.03,IDR,transfer,3646583004,investment,expense,Voomm,67634154966196972
166,11/25/2022,687028.21,IDR,purchase,7462749422,savings,expense,Shufflester,3550858961932653
167,12/8/2023,165671.05,EUR,transfer,3172150794,investment,expense,Avamm,3557851433097554
168,5/27/2019,496942.68,EUR,sale,6861685859,savings,investment,Browseblab,201522102536141
169,1/18/2022,90041.76,IDR,sale,4553759660,,expense,Buzzbean,201802949101105
170,5/11/2021,640977.71,,sale,6888917991,,expense,Avamba,3539795922178123
171,3/23/2020,552626.19,CNY,purchase,2131437654,savings,investment,Youspan,3584091918536043
172,11/29/2020,34175.11,CNY,sale,8681215976,checking,expense,Zoombeat,3557937800314290
173,2/19/2024,626928.84,BRL,transfer,6541141735,checking,expense,Demizz,3583657488985736
174,3/30/2021,709564.14,CNY,purchase,2642490410,investment,investment,Eidel,6759122245386473622
175,7/29/2021,568883.77,EUR,sale,1635609826,savings,income,Pixonyx,3559773779128454
176,12/25/2019,915129.33,CNY,purchase,7276991289,savings,investment,Browsezoom,201486333513453
177,4/18/2019,110907.35,SEK,purchase,3240170744,investment,expense,Riffpath,3534535163043007
178,11/12/2019,154885.08,,sale,6798594091,checking,expense,Kazu,3542057521419977
179,3/15/2024,302992.87,EUR,purchase,8982344602,checking,investment,Wikibox,6767939384955158
180,5/13/2021,283053.76,EUR,transfer,9378568643,investment,income,Wikizz,3546168755586070
181,10/13/2023,200298.66,IDR,transfer,9265041400,savings,investment,Dabjam,670687701720497174
182,2/3/2024,947539.79,IDR,purchase,8601580848,investment,expense,Oyoloo,337941016497496
183,5/6/2021,581992.85,USD,purchase,8287368927,savings,income,Yakijo,3537824994149978
184,9/8/2022,569052.22,NIO,transfer,3641895453,checking,expense,Youtags,3585474012614750
185,2/11/2020,220795.34,EUR,sale,2820190753,investment,investment,Skyvu,3568826657015265
186,4/12/2022,995421.42,CNY,sale,1008558794,investment,investment,Riffwire,6709554246862061
187,3/20/2020,324866.22,IDR,purchase,2111430607,investment,investment,Fatz,4041372525278038
188,7/12/2019,66274.01,MXN,purchase,6644961189,investment,expense,Pixonyx,3584612562981704
189,10/21/2020,11888.59,CNY,purchase,5653796536,investment,income,Photofeed,6388760770088019
190,8/11/2020,411221.12,GBP,purchase,7245885333,checking,expense,Devpoint,3562950585538283
191,5/5/2023,92527.06,NOK,transfer,7390468058,investment,expense,Plajo,50208263525697339
192,7/26/2021,259322.33,COP,purchase,7572148638,savings,expense,JumpXS,5007667917117010
193,12/6/2022,500456.92,IDR,sale,9373346850,savings,investment,Muxo,3532864405933581
194,7/28/2020,52476.93,EUR,transfer,8043163157,savings,income,Skimia,56104613216355534
195,10/24/2021,737747.04,PEN,purchase,2578377419,investment,income,Devbug,3537728575440963
196,1/13/2020,646818.62,,transfer,3695016663,checking,investment,Dynabox,201801408844122
197,11/17/2020,297121.84,RUB,transfer,9236429318,checking,investment,Dynava,5602235802201486
198,11/2/2021,798950.51,SEK,purchase,6696108319,savings,expense,Flashpoint,3570232674973006
199,7/20/2022,65674.68,ZMW,transfer,8029267258,savings,expense,Miboo,3539643032034325
200,10/26/2019,167088.15,ARS,transfer,3579788750,savings,income,BlogXS,50189193819004939
201,8/31/2020,863088.67,CNY,purchase,7881887954,checking,investment,Trudoo,5038502668656796
202,1/11/2023,530159.62,PHP,sale,4873040351,checking,investment,Photobean,503882300871344925
203,9/20/2019,389283.74,ZWL,sale,2563037252,savings,income,Voolia,201773174237304
204,6/5/2023,183795.29,UGX,transfer,5824071745,savings,expense,Blogtag,5602242129047136299
205,12/3/2020,205393.95,CNY,sale,5922261440,savings,investment,Feedfish,201882672367461
206,9/10/2022,215540.38,UAH,sale,1351547627,checking,income,Buzzshare,3560969815597606
207,10/11/2021,350089.14,IDR,purchase,7362457637,checking,income,Trilith,6767928857618479950
208,4/11/2023,365124.9,THB,transfer,4088425069,investment,income,Oozz,3562187281980622
209,8/25/2019,854151.45,RSD,transfer,2497865513,savings,income,Yadel,30270100013427
210,6/4/2021,668916.56,CNY,purchase,8362609609,investment,expense,Ailane,3589994589314936
211,9/2/2022,496491.23,,transfer,4917181333,savings,income,Rhyloo,3588236298814694
212,1/6/2021,565604.05,PHP,purchase,3225722439,checking,expense,Twitternation,3581614201079646
213,11/27/2021,967286.33,USD,sale,7901183425,investment,income,Trupe,5431150027717298
214,11/30/2021,282899.76,MUR,purchase,2094517905,investment,expense,Feednation,201760481727762
215,10/13/2023,424612.79,BRL,purchase,5006302679,checking,expense,Voolith,30262703723536
216,6/21/2022,688307.93,BRL,transfer,2052587454,investment,expense,Youspan,3544502719998025
217,2/1/2022,761910.97,USD,transfer,3285038407,investment,expense,Photolist,3570655619594679
218,9/22/2021,161882.69,VND,purchase,5588550896,investment,income,Jaloo,4844499074414273
219,12/9/2020,136493.29,CNY,purchase,6817229190,,income,,3545946326990371
220,10/13/2021,328104.45,CZK,purchase,3932379119,savings,investment,Topiczoom,6398381625203162
221,1/13/2024,580718.44,CNY,sale,9321552074,investment,expense,Realcube,4017957685859922
222,3/10/2023,988324.99,CNY,sale,4818570916,savings,investment,Vimbo,201533315070919
223,5/15/2022,341472.39,CNY,purchase,7270217914,investment,investment,Edgewire,6771447560499751547
224,1/6/2023,123484.05,SEK,transfer,7609078877,checking,investment,Buzzdog,5100171528428227
225,6/21/2019,747687.55,MAD,purchase,1514607094,savings,income,Fivechat,5162137784307731
226,7/30/2020,568010.49,CNY,transfer,3757478965,savings,investment,Gigabox,3587282459718622
227,6/28/2022,434652.98,JPY,sale,1137253658,savings,investment,Thoughtsphere,3548849692177895
228,5/23/2019,862368.97,CZK,purchase,2326842291,checking,income,,3563702827671656
229,4/13/2021,853481.89,BRL,purchase,2444226372,savings,expense,Plambee,3554259461235059
230,1/15/2021,653740.53,NZD,transfer,6842278007,savings,investment,Skyndu,676760517845602309
231,7/24/2021,160271.84,CNY,purchase,8904293607,savings,expense,Tagfeed,30320674945700
232,5/13/2023,775661.52,JPY,sale,7008095680,checking,investment,Abatz,6767281829859855
233,5/13/2020,435325.55,EUR,purchase,2268760643,investment,investment,Realmix,560225664924634962
234,9/4/2022,464750.27,VND,sale,6638243686,savings,expense,Meejo,6763274485495431
235,12/29/2022,343126.11,EUR,sale,3312766157,investment,expense,Rhynyx,4026848153284835
236,3/3/2021,973076.22,EUR,sale,4899273303,checking,income,Yambee,67091155256245235
237,1/15/2022,86594.26,CNY,transfer,6811354580,investment,income,Livepath,4017958212515979
238,7/27/2019,301978.4,BRL,sale,7283320297,checking,investment,Leenti,50207770824407450
239,1/29/2022,472592.04,CNY,purchase,8385408519,investment,investment,Topiczoom,3584773618570055
240,9/2/2020,398327.61,PLN,sale,2442630772,investment,income,Mynte,4911695861601000
241,3/15/2022,794964.76,EUR,purchase,4177516898,savings,investment,Ntags,3531061523629107
242,6/4/2021,507677.66,IRR,transfer,5144197085,checking,investment,Trilith,3557409346333747
243,10/6/2023,980088.01,IDR,sale,7380979545,investment,income,Jayo,3572537891931985
244,9/16/2022,552379.11,CUP,purchase,5693726531,investment,investment,Gigabox,3557425473095826
245,3/6/2020,232874.27,ETB,transfer,7941512359,checking,income,Oyoba,3550179524340353
246,4/10/2022,722106.3,DKK,transfer,7230398815,investment,expense,Flipstorm,3545607618237125
247,4/9/2020,783489.47,PHP,purchase,7416926413,checking,income,Vinte,5602246638733790
248,6/19/2022,861097.48,CNY,transfer,7678697215,savings,investment,Rhyzio,3586700926729246
249,12/2/2021,363916.49,CNY,transfer,8720582460,checking,investment,Thoughtstorm,56022127765043051
250,1/19/2023,619015.73,CZK,purchase,5642797476,checking,expense,Katz,3585520390557522
251,12/18/2019,436171.99,CNY,transfer,1061105777,savings,investment,Eare,5002359947160328
252,3/16/2020,573930.1,GBP,transfer,3055642291,checking,income,Babblestorm,3543532881550834
253,1/26/2022,624876.14,JPY,transfer,1390715745,savings,expense,Jaxspan,3570409259785605
254,2/21/2022,74839.06,JPY,sale,3647922537,checking,expense,Buzzdog,4936490804276438
255,12/9/2023,231124.11,IDR,sale,8830356878,,investment,Avamm,4911346816250965833
256,7/2/2020,945745.19,PLN,purchase,3147781639,,investment,Bubbletube,201506407084790
257,11/11/2019,477565.54,KRW,transfer,1026853167,savings,investment,Twitterbridge,4903603779118546135
258,3/30/2024,97041.86,IDR,transfer,7007469717,savings,income,Edgepulse,3571125304343401
259,7/23/2019,138433.36,DKK,transfer,2511536667,investment,expense,Ooba,201940047984905
260,7/14/2021,789517.13,EUR,transfer,3807863182,checking,investment,LiveZ,3551168035019407
261,4/4/2019,397529.29,HRK,sale,5345187487,savings,income,Blogspan,3535381054385614
262,9/7/2019,837288.53,CNY,sale,9632812289,checking,investment,Plambee,5602247045093190
263,11/12/2020,749305.41,UAH,purchase,5175478709,checking,income,Fliptune,4917672365902063
264,7/18/2022,490381.8,ZAR,purchase,9030649101,investment,expense,Tazzy,6304808147002928920
265,2/22/2021,793063.78,BRL,sale,3969963637,savings,expense,Tazzy,30065108937712
266,4/6/2021,321898.39,IDR,sale,4035409154,investment,expense,Thoughtworks,3575220644126347
267,12/18/2023,742357.19,RUB,purchase,9873649433,savings,investment,Feedbug,5568932245850869
268,8/13/2020,357591.45,PHP,sale,6816060867,,income,Ntag,4508832804708043
269,11/20/2022,736917.59,IDR,purchase,6596182237,investment,income,Gigaclub,4917941850431650
270,11/22/2019,752968.18,PLN,sale,7928292085,checking,expense,Quatz,3528390704912080
271,6/25/2023,213381.19,CNY,sale,3679081173,savings,income,Skinder,3543374034651999
272,1/2/2020,217491.66,CAD,sale,4246678209,savings,income,Photojam,3584657379282952
273,11/23/2020,798479.63,RUB,sale,5702049181,checking,expense,,374288459972724
274,12/3/2022,887211.52,TND,sale,2720417255,savings,income,Rhybox,490535815930656762
275,9/19/2021,832183.7,USD,sale,3457627316,checking,expense,Fivebridge,30309769860858
276,9/22/2019,209154.45,IDR,sale,3071947832,checking,investment,Kanoodle,3580047846307141
277,4/15/2019,730278.57,XOF,transfer,1168776943,investment,expense,Skyndu,3578327946791947
278,7/20/2019,655274.3,PHP,purchase,5149028172,savings,income,Voonder,374622420691148
279,12/8/2023,4108.36,CNY,transfer,7636243968,savings,income,Realpoint,3528586469650555
280,8/2/2021,965404.82,TZS,sale,4002768626,investment,expense,Brightdog,3541203150433381
281,2/18/2022,404041.96,IDR,purchase,2188520544,savings,expense,Skinte,3546400094011860
282,5/27/2019,554648.57,NIO,sale,8820910975,savings,income,Rhynyx,3573747473188073
283,10/26/2023,133010.18,CZK,sale,3013990873,investment,expense,Npath,4041592438682899
284,3/11/2024,700455.14,,sale,7264922881,investment,expense,Skippad,5469616614917322
285,5/18/2019,49041.87,EGP,transfer,8461011503,checking,investment,Topicstorm,3580899999341909
286,8/13/2020,550864.55,USD,transfer,8150556247,savings,income,Skalith,374622332586634
287,2/15/2021,947957.15,BOB,purchase,7761065244,savings,expense,Voomm,3547748209132545
288,3/11/2022,716316.38,CHF,purchase,7582279557,investment,investment,Yoveo,5007665853714915
289,8/17/2019,886739.69,RUB,purchase,1896296284,checking,income,Agimba,3585951878678094
290,5/19/2023,691407.49,RUB,sale,8650444232,investment,investment,Ntags,560222248398969550
291,9/24/2020,812278.92,IDR,transfer,5947431957,investment,expense,Mycat,3561007971361340
292,4/7/2023,314116.22,CNY,sale,2126420508,savings,investment,Jaxbean,5405200653393054
293,3/7/2024,155745.76,IDR,purchase,2144102172,checking,income,Cogilith,3540536405990510
294,5/26/2021,533537.81,UAH,sale,1969659136,savings,income,Cogilith,201664031700792
295,4/8/2023,440327.4,CNY,sale,6436947272,checking,income,Youspan,201721042140481
296,5/18/2023,463236.62,CNY,transfer,6826103383,investment,income,Avamba,6763817456512103
297,4/4/2020,682911.65,,transfer,9560105786,savings,expense,Realcube,67069976215528066
298,10/22/2022,231657.33,XAF,sale,7105993907,checking,investment,Brightdog,58937488711919681
299,9/28/2021,253815.44,KES,sale,1048317967,investment,expense,Fivechat,5108751379171455
300,6/12/2023,859480.2,IDR,purchase,9743925373,savings,expense,Shuffledrive,67615372706305108
301,12/16/2022,942857.87,CZK,sale,9882822776,checking,investment,Tazzy,374288823083307
302,1/6/2024,318167.44,EUR,sale,9275115792,checking,expense,Oyondu,5109040265979547
303,3/5/2021,928240.15,PHP,sale,4451176854,savings,income,Izio,3564704275443710
304,12/22/2020,589588.39,IDR,transfer,5278723345,checking,income,Youfeed,6333578956816214880
305,10/28/2020,63579.17,ETB,sale,8027956470,savings,expense,Skiptube,3580367170201128
306,7/6/2022,579566.65,IDR,purchase,8317631374,checking,income,Babbleset,3585767644516875
307,8/15/2023,831174.5,ARS,sale,4382990194,investment,income,Brightdog,36073327567686
308,3/31/2023,69372.58,XOF,sale,8171754391,investment,expense,Youtags,3550647573692338
309,4/10/2022,905098.23,CNY,sale,9574439985,investment,income,Twimbo,560223185126145328
310,1/17/2020,336918.4,PHP,transfer,5235049618,checking,income,,5007664006941343
311,8/24/2022,168231.76,NGN,sale,4653524720,investment,investment,Tagcat,5602253184062688084
